Ball,Score,Outcome,Innings
70.1,9--170,M Cranmer to L Greber : 1 run,1st Innings - Port Adelaide
69.6,9--169,R King to A Whicker : No Run,1st Innings - Port Adelaide
69.5,9--169,R King to A Whicker : No Run,1st Innings - Port Adelaide
69.4,9--169,R King to A Whicker : No Run,1st Innings - Port Adelaide
69.3,9--169,R King to A Whicker : No Run,1st Innings - Port Adelaide
69.2,9--169,R King to Z McCabe : Z McCabe dismissed,1st Innings - Port Adelaide
69.1,8--169,R King to Z McCabe : No Run,1st Innings - Port Adelaide
68.6,8--169,M Cranmer to L Greber : No Run,1st Innings - Port Adelaide
68.5,8--169,M Cranmer to L Greber : No Run,1st Innings - Port Adelaide
68.4,8--169,M Cranmer to L Greber : No Run,1st Innings - Port Adelaide
68.3,8--169,M Cranmer to L Greber : No Run,1st Innings - Port Adelaide
68.2,8--169,M Cranmer to L Greber : No Run,1st Innings - Port Adelaide
68.1,8--169,M Cranmer to L Greber : No Run,1st Innings - Port Adelaide
67.7,8--169,R King to Z McCabe : No Run,1st Innings - Port Adelaide
67.6,8--169,R King to Z McCabe : No Run,1st Innings - Port Adelaide
67.5,8--169,R King to Z McCabe : No Run,1st Innings - Port Adelaide
67.4,8--169,R King to Z McCabe : No Run,1st Innings - Port Adelaide
67.3,8--169,R King to Z McCabe : No Run,1st Innings - Port Adelaide
67.2,8--169,R King to Z McCabe : 1nb,1st Innings - Port Adelaide
67.1,8--168,R King to Z McCabe : No Run,1st Innings - Port Adelaide
66.6,8--168,M Cranmer to L Greber : No Run,1st Innings - Port Adelaide
66.5,8--168,M Cranmer to L Greber : No Run,1st Innings - Port Adelaide
66.4,8--168,M Cranmer to L Greber : No Run,1st Innings - Port Adelaide
66.3,8--168,M Cranmer to B Turley : B Turley dismissed,1st Innings - Port Adelaide
66.2,7--168,M Cranmer to Z McCabe : 1 run,1st Innings - Port Adelaide
66.1,7--167,M Cranmer to Z McCabe : No Run,1st Innings - Port Adelaide
65.6,7--167,R King to B Turley : No Run,1st Innings - Port Adelaide
